Coverage report: 40%
Show keyboard shortcuts
filter...
Hide keyboard shortcuts
Hot-keys on this page

n s m x c   change column sorting

Module	statements	missing	excluded	coverage
Total	75084	44820	100	40%
/home/cashen563/.local/lib/python3.6/site-packages/_pytest/_argcomplete.py	37	36	0	3%
/home/cashen563/.local/lib/python3.6/site-packages/_pytest/_code/code.py	684	657	0	4%
/home/cashen563/.local/lib/python3.6/site-packages/_pytest/_code/source.py	140	125	0	11%
/home/cashen563/.local/lib/python3.6/site-packages/_pytest/_io/terminalwriter.py	112	63	0	44%
/home/cashen563/.local/lib/python3.6/site-packages/_pytest/_io/wcwidth.py	25	16	0	36%
/home/cashen563/.local/lib/python3.6/site-packages/_pytest/assertion/__init__.py	84	73	0	13%
/home/cashen563/.local/lib/python3.6/site-packages/_pytest/assertion/rewrite.py	607	530	0	13%
/home/cashen563/.local/lib/python3.6/site-packages/_pytest/cacheprovider.py	304	259	0	15%
/home/cashen563/.local/lib/python3.6/site-packages/_pytest/capture.py	556	477	0	14%
/home/cashen563/.local/lib/python3.6/site-packages/_pytest/compat.py	178	137	2	23%
/home/cashen563/.local/lib/python3.6/site-packages/_pytest/config/__init__.py	801	688	0	14%
/home/cashen563/.local/lib/python3.6/site-packages/_pytest/config/argparsing.py	252	207	31	18%
/home/cashen563/.local/lib/python3.6/site-packages/_pytest/debugging.py	225	215	0	4%
/home/cashen563/.local/lib/python3.6/site-packages/_pytest/doctest.py	351	341	0	3%
/home/cashen563/.local/lib/python3.6/site-packages/_pytest/faulthandler.py	59	45	0	24%
/home/cashen563/.local/lib/python3.6/site-packages/_pytest/fixtures.py	815	478	0	41%
/home/cashen563/.local/lib/python3.6/site-packages/_pytest/helpconfig.py	132	122	0	8%
/home/cashen563/.local/lib/python3.6/site-packages/_pytest/junitxml.py	373	371	0	1%
/home/cashen563/.local/lib/python3.6/site-packages/_pytest/logging.py	397	289	0	27%
/home/cashen563/.local/lib/python3.6/site-packages/_pytest/main.py	461	293	0	36%
/home/cashen563/.local/lib/python3.6/site-packages/_pytest/mark/__init__.py	139	124	0	11%
/home/cashen563/.local/lib/python3.6/site-packages/_pytest/mark/structures.py	240	223	0	7%
/home/cashen563/.local/lib/python3.6/site-packages/_pytest/monkeypatch.py	169	156	0	8%
/home/cashen563/.local/lib/python3.6/site-packages/_pytest/nodes.py	275	195	0	29%
/home/cashen563/.local/lib/python3.6/site-packages/_pytest/nose.py	21	19	0	10%
/home/cashen563/.local/lib/python3.6/site-packages/_pytest/pastebin.py	70	69	0	1%
/home/cashen563/.local/lib/python3.6/site-packages/_pytest/pathlib.py	322	260	0	19%
/home/cashen563/.local/lib/python3.6/site-packages/_pytest/python.py	842	667	2	21%
/home/cashen563/.local/lib/python3.6/site-packages/_pytest/reports.py	278	247	0	11%
/home/cashen563/.local/lib/python3.6/site-packages/_pytest/runner.py	300	179	0	40%
/home/cashen563/.local/lib/python3.6/site-packages/_pytest/setuponly.py	56	49	0	12%
/home/cashen563/.local/lib/python3.6/site-packages/_pytest/setupplan.py	24	20	0	17%
/home/cashen563/.local/lib/python3.6/site-packages/_pytest/skipping.py	173	141	0	18%
/home/cashen563/.local/lib/python3.6/site-packages/_pytest/stepwise.py	70	57	0	19%
/home/cashen563/.local/lib/python3.6/site-packages/_pytest/store.py	34	27	0	21%
/home/cashen563/.local/lib/python3.6/site-packages/_pytest/terminal.py	848	625	0	26%
/home/cashen563/.local/lib/python3.6/site-packages/_pytest/tmpdir.py	92	85	0	8%
/home/cashen563/.local/lib/python3.6/site-packages/_pytest/unittest.py	229	154	0	33%
/home/cashen563/.local/lib/python3.6/site-packages/_pytest/warnings.py	63	39	0	38%
/home/cashen563/.local/lib/python3.6/site-packages/attr/converters.py	28	26	0	7%
/home/cashen563/.local/lib/python3.6/site-packages/click/__init__.py	69	0	0	100%
/home/cashen563/.local/lib/python3.6/site-packages/click/_compat.py	449	319	0	29%
/home/cashen563/.local/lib/python3.6/site-packages/click/_unicodefun.py	71	60	0	15%
/home/cashen563/.local/lib/python3.6/site-packages/click/core.py	912	635	0	30%
/home/cashen563/.local/lib/python3.6/site-packages/click/decorators.py	150	87	0	42%
/home/cashen563/.local/lib/python3.6/site-packages/click/exceptions.py	127	89	0	30%
/home/cashen563/.local/lib/python3.6/site-packages/click/formatting.py	137	115	0	16%
/home/cashen563/.local/lib/python3.6/site-packages/click/globals.py	18	5	0	72%
/home/cashen563/.local/lib/python3.6/site-packages/click/parser.py	239	203	0	15%
/home/cashen563/.local/lib/python3.6/site-packages/click/termui.py	211	150	0	29%
/home/cashen563/.local/lib/python3.6/site-packages/click/testing.py	213	174	0	18%
/home/cashen563/.local/lib/python3.6/site-packages/click/types.py	327	195	0	40%
/home/cashen563/.local/lib/python3.6/site-packages/click/utils.py	196	126	0	36%
/home/cashen563/.local/lib/python3.6/site-packages/flask/__init__.py	46	0	0	100%
/home/cashen563/.local/lib/python3.6/site-packages/flask/_compat.py	81	43	0	47%
/home/cashen563/.local/lib/python3.6/site-packages/flask/app.py	635	251	0	60%
/home/cashen563/.local/lib/python3.6/site-packages/flask/blueprints.py	179	133	0	26%
/home/cashen563/.local/lib/python3.6/site-packages/flask/cli.py	427	309	0	28%
/home/cashen563/.local/lib/python3.6/site-packages/flask/config.py	91	62	0	32%
/home/cashen563/.local/lib/python3.6/site-packages/flask/ctx.py	159	47	0	70%
/home/cashen563/.local/lib/python3.6/site-packages/flask/globals.py	27	3	0	89%
/home/cashen563/.local/lib/python3.6/site-packages/flask/helpers.py	375	224	0	40%
/home/cashen563/.local/lib/python3.6/site-packages/flask/json/__init__.py	130	83	0	36%
/home/cashen563/.local/lib/python3.6/site-packages/flask/json/tag.py	129	28	0	78%
/home/cashen563/.local/lib/python3.6/site-packages/flask/logging.py	35	22	0	37%
/home/cashen563/.local/lib/python3.6/site-packages/flask/sessions.py	127	30	0	76%
/home/cashen563/.local/lib/python3.6/site-packages/flask/signals.py	32	17	0	47%
/home/cashen563/.local/lib/python3.6/site-packages/flask/templating.py	86	36	0	58%
/home/cashen563/.local/lib/python3.6/site-packages/flask/testing.py	99	47	0	53%
/home/cashen563/.local/lib/python3.6/site-packages/flask/wrappers.py	39	14	0	64%
/home/cashen563/.local/lib/python3.6/site-packages/flask_sqlalchemy/__init__.py	483	138	0	71%
/home/cashen563/.local/lib/python3.6/site-packages/flask_sqlalchemy/_compat.py	27	18	0	33%
/home/cashen563/.local/lib/python3.6/site-packages/flask_sqlalchemy/model.py	61	18	0	70%
/home/cashen563/.local/lib/python3.6/site-packages/flask_sqlalchemy/utils.py	22	16	0	27%
/home/cashen563/.local/lib/python3.6/site-packages/flask_testing/__init__.py	15	4	0	73%
/home/cashen563/.local/lib/python3.6/site-packages/flask_testing/utils.py	244	80	4	67%
/home/cashen563/.local/lib/python3.6/site-packages/flask_wtf/__init__.py	5	0	0	100%
/home/cashen563/.local/lib/python3.6/site-packages/flask_wtf/_compat.py	24	10	0	58%
/home/cashen563/.local/lib/python3.6/site-packages/flask_wtf/csrf.py	156	106	0	32%
/home/cashen563/.local/lib/python3.6/site-packages/flask_wtf/form.py	69	15	0	78%
/home/cashen563/.local/lib/python3.6/site-packages/flask_wtf/i18n.py	28	27	0	4%
/home/cashen563/.local/lib/python3.6/site-packages/flask_wtf/recaptcha/__init__.py	3	0	0	100%
/home/cashen563/.local/lib/python3.6/site-packages/flask_wtf/recaptcha/fields.py	10	2	0	80%
/home/cashen563/.local/lib/python3.6/site-packages/flask_wtf/recaptcha/validators.py	45	29	0	36%
/home/cashen563/.local/lib/python3.6/site-packages/flask_wtf/recaptcha/widgets.py	25	16	0	36%
/home/cashen563/.local/lib/python3.6/site-packages/importlib_metadata/__init__.py	231	226	2	2%
/home/cashen563/.local/lib/python3.6/site-packages/importlib_metadata/_compat.py	30	29	47	3%
/home/cashen563/.local/lib/python3.6/site-packages/itsdangerous/__init__.py	21	0	0	100%
/home/cashen563/.local/lib/python3.6/site-packages/itsdangerous/_compat.py	22	11	0	50%
/home/cashen563/.local/lib/python3.6/site-packages/itsdangerous/_json.py	11	3	0	73%
/home/cashen563/.local/lib/python3.6/site-packages/itsdangerous/encoding.py	27	7	0	74%
/home/cashen563/.local/lib/python3.6/site-packages/itsdangerous/exc.py	31	15	0	52%
/home/cashen563/.local/lib/python3.6/site-packages/itsdangerous/jws.py	120	83	0	31%
/home/cashen563/.local/lib/python3.6/site-packages/itsdangerous/serializer.py	90	42	0	53%
/home/cashen563/.local/lib/python3.6/site-packages/itsdangerous/signer.py	85	29	0	66%
/home/cashen563/.local/lib/python3.6/site-packages/itsdangerous/timed.py	79	50	0	37%
/home/cashen563/.local/lib/python3.6/site-packages/itsdangerous/url_safe.py	37	17	0	54%
/home/cashen563/.local/lib/python3.6/site-packages/jinja2/__init__.py	38	0	0	100%
/home/cashen563/.local/lib/python3.6/site-packages/jinja2/_compat.py	90	52	0	42%
/home/cashen563/.local/lib/python3.6/site-packages/jinja2/_identifier.py	2	0	0	100%
/home/cashen563/.local/lib/python3.6/site-packages/jinja2/bccache.py	154	110	0	29%
/home/cashen563/.local/lib/python3.6/site-packages/jinja2/compiler.py	1150	651	0	43%
/home/cashen563/.local/lib/python3.6/site-packages/jinja2/defaults.py	21	0	0	100%
/home/cashen563/.local/lib/python3.6/site-packages/jinja2/environment.py	541	291	0	46%
/home/cashen563/.local/lib/python3.6/site-packages/jinja2/exceptions.py	83	58	0	30%
/home/cashen563/.local/lib/python3.6/site-packages/jinja2/ext.py	335	246	0	27%
/home/cashen563/.local/lib/python3.6/site-packages/jinja2/filters.py	417	313	0	25%
/home/cashen563/.local/lib/python3.6/site-packages/jinja2/idtracking.py	204	84	0	59%
/home/cashen563/.local/lib/python3.6/site-packages/jinja2/lexer.py	356	73	0	79%
/home/cashen563/.local/lib/python3.6/site-packages/jinja2/loaders.py	228	138	0	39%
/home/cashen563/.local/lib/python3.6/site-packages/jinja2/nodes.py	458	177	0	61%
/home/cashen563/.local/lib/python3.6/site-packages/jinja2/optimizer.py	17	2	0	88%
/home/cashen563/.local/lib/python3.6/site-packages/jinja2/parser.py	648	349	0	46%
/home/cashen563/.local/lib/python3.6/site-packages/jinja2/runtime.py	435	269	0	38%
/home/cashen563/.local/lib/python3.6/site-packages/jinja2/tests.py	64	30	0	53%
/home/cashen563/.local/lib/python3.6/site-packages/jinja2/utils.py	317	189	0	40%
/home/cashen563/.local/lib/python3.6/site-packages/jinja2/visitor.py	40	8	0	80%
/home/cashen563/.local/lib/python3.6/site-packages/markupsafe/__init__.py	164	87	0	47%
/home/cashen563/.local/lib/python3.6/site-packages/markupsafe/_compat.py	18	8	0	56%
/home/cashen563/.local/lib/python3.6/site-packages/pluggy/_tracing.py	41	31	0	24%
/home/cashen563/.local/lib/python3.6/site-packages/pluggy/callers.py	122	88	0	28%
/home/cashen563/.local/lib/python3.6/site-packages/pluggy/hooks.py	175	106	0	39%
